COUNTRY_ALPHA,E016,E069_54,F050,F051,F053,F054,E217,E218,E220,I001,I002,E234
AND,3,1,1,1,0,1,7,6,7,5,2,6
AND,1,2,0,0,0,0,9,9,9,2,2,10
AND,2,2,1,1,0,0,5,6,8,5,4,5
AND,1,-2,0,0,0,0,7,6,5,6,3,6
AND,1,-2,0,0,0,0,7,7,6,5,2,6
AND,3,1,1,1,0,0,10,10,10,10,10,10
AND,2,2,1,1,0,0,5,5,10,10,10,7
AND,1,3,1,0,0,0,5,9,6,4,2,9
AND,2,1,1,0,0,0,5,8,8,8,8,8
AND,1,2,1,0,0,0,8,8,10,8,1,2
AND,2,1,1,0,0,0,8,7,9,8,2,9
AND,1,2,1,1,1,1,8,7,8,6,2,6
AND,3,2,0,0,0,0,9,7,8,8,10,7
AND,2,2,1,0,0,0,7,5,5,3,5,6
AND,2,3,1,0,0,1,10,9,9,9,10,9
AND,2,2,1,1,0,1,10,10,10,10,7,4
AND,2,4,0,0,0,0,5,4,4,1,1,6
AND,3,3,1,1,0,0,10,5,10,10,10,5
AND,1,1,1,1,1,1,8,8,6,6,2,7
AND,1,3,1,0,0,1,5,1,5,7,10,3
AND,2,2,1,0,0,0,5,10,5,10,1,8
AND,1,1,0,1,0,0,10,1,10,1,1,5
AND,1,2,0,0,0,0,5,5,10,6,10,6
AND,1,1,0,0,0,0,9,9,2,3,1,8
AND,3,2,0,0,0,0,7,4,3,8,8,7
AND,3,2,1,1,1,1,10,10,10,10,2,10
AND,1,1,1,1,0,0,10,5,10,10,10,8
AND,2,1,0,0,0,0,7,6,1,1,8,8
AND,1,3,1,0,0,0,10,10,1,1,1,9
AND,2,2,0,0,0,0,7,6,5,5,5,5
AND,2,2,1,1,1,1,7,7,7,6,3,5
AND,1,2,1,1,1,1,7,6,5,5,1,2
AND,1,-2,0,0,0,0,7,6,5,4,3,4
AND,3,2,1,1,0,0,6,9,9,9,5,8
AND,1,2,0,0,0,0,7,5,5,5,2,5
AND,1,2,1,1,0,0,10,10,10,1,10,10
AND,1,2,0,0,0,0,10,10,1,2,1,10
AND,1,2,0,0,0,0,6,7,1,1,1,5
AND,3,2,1,0,0,1,4,5,5,7,3,3
AND,3,2,1,1,0,0,7,5,5,4,5,6
AND,1,2,1,0,0,1,7,6,3,2,3,9
AND,1,2,0,1,0,0,8,8,4,4,5,7
AND,2,2,0,0,0,0,8,7,2,2,2,8
AND,1,2,0,0,0,0,10,10,1,1,1,10
AND,1,-2,1,1,0,0,7,5,7,3,2,7
AND,1,1,1,0,0,0,8,5,1,1,1,8
AND,1,2,1,1,0,0,7,7,4,4,4,7
AND,1,1,0,0,0,0,8,7,2,2,2,7
AND,1,4,1,1,1,1,10,1,10,10,1,3
AND,1,4,1,1,0,1,7,8,7,8,6,2
AND,1,2,0,1,0,1,6,5,7,6,6,5
AND,1,2,0,1,0,0,10,10,1,5,1,8
AND,1,2,0,-2,0,0,7,6,1,1,6,7
AND,2,2,-2,-2,0,0,4,5,3,5,3,7
AND,1,1,0,0,0,0,9,4,2,1,2,8
AND,1,2,1,1,1,1,9,10,7,5,5,10
AND,1,2,0,0,0,0,9,7,8,2,2,8
AND,1,2,0,0,0,0,10,9,7,1,9,9
AND,1,2,0,0,0,0,3,4,8,6,5,8
AND,1,2,0,0,0,0,2,5,7,5,5,8
AND,2,2,1,1,1,1,7,10,5,6,5,5
AND,1,2,0,0,0,0,8,8,8,5,3,7
AND,1,1,0,1,0,0,10,10,10,2,7,10
AND,2,1,1,1,1,1,9,10,8,8,6,8
AND,1,2,0,0,0,0,9,9,10,8,4,8
AND,2,1,1,0,0,0,10,9,5,10,5,7
AND,1,2,0,0,0,0,8,9,8,5,4,3
AND,1,4,0,0,0,0,7,8,1,1,2,8
AND,1,2,0,0,0,0,8,10,1,1,1,10
AND,1,2,0,0,0,0,5,3,5,5,5,8
AND,2,2,0,0,0,0,7,6,1,1,2,10
AND,3,2,1,1,0,0,10,10,10,10,1,10
AND,3,1,0,0,0,0,10,10,10,10,5,5
AND,1,3,1,1,1,1,5,5,5,1,10,7
AND,3,2,0,0,0,0,7,8,2,2,4,6
AND,1,1,1,0,0,0,10,10,5,6,10,8
AND,1,1,1,1,0,0,8,8,5,3,2,9
AND,1,2,0,0,0,0,8,8,1,1,1,10
AND,1,2,1,0,0,0,10,10,10,10,9,4
AND,1,1,1,0,0,0,8,7,7,8,10,6
AND,2,2,1,1,0,0,10,10,10,10,1,10
AND,2,2,0,0,0,0,10,10,10,1,1,7
AND,2,2,0,0,0,0,7,6,6,10,1,3
AND,3,1,1,0,0,0,10,10,10,10,10,10
AND,2,2,1,0,0,0,6,3,10,10,6,2
AND,3,1,1,0,0,0,2,8,3,5,10,4
AND,1,2,1,1,0,0,3,3,1,2,5,8
AND,1,2,1,0,0,0,7,8,10,10,10,3
AND,2,2,1,0,0,0,6,8,6,2,9,6
AND,1,1,1,1,1,1,10,10,10,10,1,3
AND,1,1,1,1,0,1,7,7,7,7,1,10
AND,2,1,1,1,1,1,10,10,10,1,1,6
AND,2,4,1,0,0,0,1,1,1,10,10,10
AND,3,2,1,0,0,0,8,10,10,10,10,6
AND,2,2,1,1,0,0,6,6,9,6,3,5
AND,3,2,1,0,0,0,7,1,10,1,1,1
AND,2,2,0,1,0,0,8,5,10,8,1,9
AND,1,-2,1,0,0,0,10,10,10,10,1,10
AND,1,2,1,0,0,0,7,7,5,5,5,7
AND,1,3,0,0,0,0,8,10,8,1,1,7
AND,2,2,1,0,0,0,4,4,6,5,8,3
AND,2,2,0,0,0,0,7,7,1,1,1,7
AND,1,4,1,0,0,0,10,10,7,10,10,8
AND,2,4,0,1,0,0,10,5,10,1,5,5
AND,2,1,1,0,0,0,5,10,10,7,10,9
AND,2,-2,1,1,-2,-2,10,5,8,1,9,7
AND,1,1,0,1,0,0,10,10,1,1,1,9
AND,3,1,1,0,1,1,2,2,10,10,10,1
AND,1,2,1,1,1,1,10,10,1,1,1,6
AND,2,2,0,0,0,0,7,5,7,1,3,5
AND,1,1,1,0,0,0,10,7,7,1,10,2
AND,1,1,1,1,1,1,10,10,1,1,10,1
AND,1,1,0,0,0,0,10,10,6,1,1,10
AND,1,-2,0,0,0,0,10,10,10,5,10,1
AND,1,1,0,0,0,0,9,9,1,1,1,8
AND,2,1,1,0,0,0,1,8,10,10,10,7
AND,2,1,0,0,0,0,10,10,10,5,2,10
AND,1,1,1,0,0,0,10,10,5,1,1,6
AND,2,1,1,1,0,0,10,10,1,1,1,10
AND,1,1,1,1,0,0,10,10,10,10,10,8
AND,1,1,1,0,0,0,5,5,9,7,1,10
AND,1,2,1,0,0,0,8,8,8,5,10,6
AND,3,2,1,0,0,0,5,1,5,10,5,5
AND,2,2,0,0,0,0,7,7,3,3,3,8
AND,1,2,0,0,0,0,7,7,1,3,7,8
AND,1,2,0,0,0,0,10,10,3,5,2,9
AND,1,2,1,1,1,1,3,10,10,9,5,10
AND,1,2,1,1,1,1,10,10,6,5,5,10
AND,1,2,0,0,0,0,10,10,1,6,1,10
AND,2,3,1,1,1,1,9,7,3,2,2,9
AND,2,2,1,0,0,1,6,8,9,4,3,5
AND,1,2,0,0,0,0,10,10,5,5,2,10
AND,1,2,1,0,1,1,8,9,8,7,7,10
AND,2,3,1,1,1,1,7,7,5,7,6,8
AND,1,3,1,1,1,1,4,10,10,5,5,9
AND,1,3,1,1,1,1,8,9,6,6,7,10
AND,1,3,1,1,1,1,5,8,7,5,4,9
AND,1,2,1,1,1,1,10,10,3,3,2,10
AND,1,2,1,1,1,1,7,8,8,7,6,9
AND,1,2,1,1,1,1,9,10,10,5,4,10
AND,1,2,1,1,1,1,10,10,6,6,4,10
AND,1,2,1,1,1,1,9,10,8,5,4,10
AND,2,3,1,1,1,1,10,10,10,10,10,10
AND,2,2,0,0,0,0,10,10,1,5,1,10
AND,1,2,0,0,1,1,6,5,7,6,5,9
AND,1,2,1,0,0,1,7,10,6,6,5,8
AND,1,2,0,0,0,0,10,10,1,6,2,7
AND,1,2,1,0,0,0,10,10,5,1,1,10
AND,1,2,1,1,1,1,10,10,7,5,5,10
AND,2,2,-2,-2,-2,-2,10,10,1,1,8,10
AND,2,4,1,1,0,0,10,10,1,3,3,10
